Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1070932,Ragazzi di vita,Pier Paolo Pasolini,"Pasolini, Pier Paolo",,"=""8811666279""","=""9788811666271""",3,Garzanti,Paperback,246,2000,1955,,2026/01/20,,,read,,,,1,0
24728470,M Train,Patti Smith,"Smith, Patti",,"=""1101875100""","=""9781101875100""",1,Knopf,Hardcover,256,2015,2015,2025/04/13,2025/04/13,,,read,,,,1,0
211034872,Quando muori resta a me,Zerocalcare,"Zerocalcare, Zerocalcare",,"=""""","=""9791256210091""",3,Bao Publishing,Hardcover,304,2024,2024,,2025/03/09,,,read,,,,1,0
9671303,Il male oscuro,Giuseppe Berto,"Berto, Giuseppe",Carlo Emilio Gadda,"=""881701219X""","=""9788817012195""",0,BUR Rizzoli,Paperback,419,2006,1964,,2025/02/22,to-read,to-read (#8),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",5,Basic Books,Paperback,777,1999,1979,,2025/02/01,currently-reading,currently-reading (#2),currently-reading,,,,1,0
52342758,Finché il caffè è caldo,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Claudia Marseguerra,"=""8811608767""","=""9788811608769""",3,Garzanti,Paperback,192,2020,2015,2025/01/20,2025/02/01,,,read,,,,1,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,Tor Books,Hardcover,384,2006,2006,,2024/10/27,to-read,to-read (#7),to-read,,,,0,0
54275373,Il dolce domani,Banana Yoshimoto,"Yoshimoto, Banana",Gala Maria Follaco,"=""8807033984""","=""9788807033988""",0,Feltrinelli,Paperback,104,2020,2011,,2024/10/16,to-read,to-read (#6),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,Random House: Modern Library,Paperback,272,2004,1890,,2016/03/25,,,read,,,,1,0
9669398,Viaggio al termine della notte,Louis-Ferdinand Céline,"Céline, Louis-Ferdinand",Ernesto Ferrero,"=""8879720171""","=""9788879720175""",3,Corbaccio,Hardcover,575,2005,1932,2016/09/17,2016/04/17,,,read,,,,1,0
26017445,The Technological Singularity,Murray Shanahan,"Shanahan, Murray",,"=""0262527804""","=""9780262527804""",2,The MIT Press,Paperback,272,2015,2015,2018/04/05,2017/10/17,,,read,,,,1,0
21855265,Widow Basquiat: A Love Story,Jennifer Clement,"Clement, Jennifer",,"=""0553419919""","=""9780553419917""",3,Crown,Paperback,208,2014,2000,2017/09/01,2017/10/17,,,read,,,,1,0
3548135,Il mestiere di vivere: Diario 1935-1950,Cesare Pavese,"Pavese, Cesare","Laura Nay, Marziano Guglielminetti, Cesare Segre","=""8806153234""","=""9788806153236""",4,Einaudi,Paperback,570,2000,1952,2017/01/01,2017/10/17,,,read,,,,1,0
49402100,Questa è l'America: Storie per capire il presente degli Stati Uniti e il nostro futuro,Francesco Costa,"Costa, Francesco",,"=""8804722460""","=""9788804722465""",4,Mondadori,Paperback,204,2020,2020,,2024/09/29,,,read,,,,1,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",4,New Directions,Hardcover,178,1969,1938,2024/07/01,2024/07/05,,,read,,,,1,0
9734610,Una cosa divertente che non farò mai più,David Foster Wallace,"Wallace, David Foster","Gabriella D'Angelo, Francesco Piccolo","=""8887765561""","=""9788887765564""",4,Minimum fax,Paperback,140,1998,1997,,2016/03/25,,,read,,,,1,0
35336032,Eudemonología,Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""8470830171""","=""9788470830174""",5,Ediciones Ibéricas,Paperback,512,1961,1851,2024/05/24,2024/05/28,favorites,favorites (#3),read,,,,1,0
60096083,A New York con Patti Smith: La sciamana del Chelsea Hotel,Laura Pezzino,"Pezzino, Laura",,"=""8860046335""","=""9788860046338""",3,Giulio Perrone Editore,Paperback,163,2022,2022,2024/05/03,2024/05/02,,,read,,,,1,0
26249805,Le Ateniesi,Alessandro Barbero,"Barbero, Alessandro",,"=""8852067566""","=""9788852067563""",3,Mondadori,Kindle Edition,216,2015,2015,2024/03/02,2024/05/01,,,read,,,,1,0
60568,The Two Hands of God,Alan W. Watts,"Watts, Alan W.",,"=""0020681100""","=""9780020681106""",2,Macmillan Publishing Company,Paperback,0,1969,1963,2023/11/27,2023/11/27,,,read,"There is a Hassidic saying: ""If I am I because you are you, and if you are you because I am I, then I am not I, and you are not you.""",true,,1,0
9915,Less Than Zero,Bret Easton Ellis,"Ellis, Bret Easton",Rachel Kushner,"=""""","=""""",0,Vintage Books,Paperback,208,2010,1985,,2023/08/19,to-read,to-read (#5),to-read,,,,0,0
14287,Almost Transparent Blue,Ryū Murakami,"Murakami, Ryū",Nancy Andrew,"=""4770029047""","=""9784770029041""",3,Kodansha USA,Paperback,126,2003,1976,2023/01/01,2023/08/19,,,read,,,,1,0
13329968,What I Talk About When I Talk About Running: The book that made Harry Styles believe he could run a marathon,Haruki Murakami,"Murakami, Haruki",,"=""""","=""""",4,,Kindle Edition,194,2011,2007,2023/07/22,2023/07/22,,,read,,,,2,0
36455446,Philip K. Dick Short Stories,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",0,Philip K. Dick,Kindle Edition,88,2016,,,2023/05/27,currently-reading,currently-reading (#1),currently-reading,,,,1,0
58782897,The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,"Zeihan, Peter",,"=""006323047X""","=""9780063230477""",2,Harper Business,Hardcover,512,2022,2022,2023/05/27,2023/04/15,,,read,,,,1,0
34468,"A Cat, a Man, and Two Women: Stories",Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō","谷崎潤一郎, Paul McCarthy","=""4770016050""","=""9784770016058""",3,Kodansha USA Inc,Paperback,164,1991,1936,2023/05/22,2023/02/02,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",3,Avery,Kindle Edition,319,2018,2018,2023/01/21,2023/01/21,,,read,,,,1,0
266342,La giornata d'uno scrutatore,Italo Calvino,"Calvino, Italo",Guido Piovene,"=""8804379898""","=""9788804379898""",4,Mondadori,Paperback,83,1994,1963,2021/08/02,2023/01/02,,,read,,,,1,0
41181911,Super Thinking: The Big Book of Mental Models,Gabriel Weinberg,"Weinberg, Gabriel",Lauren McCann,"=""0525533583""","=""9780525533580""",2,Portfolio,Hardcover,354,2019,2019,2022/08/02,2020/01/18,,,read,,,,1,0
1739060,La luna e i falò,Cesare Pavese,"Pavese, Cesare",Gian Luigi Beccaria,"=""8806174193""","=""9788806174194""",2,Einaudi,Paperback,211,2005,1950,2022/12/07,2023/01/02,,,read,,,,1,0
189989,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"Carse, James P.",,"=""0345341848""","=""9780345341846""",3,Ballantine,Mass Market Paperback,180,1987,1986,2022/10/07,2023/01/02,,,read,,,,1,0
41817484,The Case Against Reality: Why Evolution Hid the Truth from Our Eyes,Donald D. Hoffman,"Hoffman, Donald D.",,"=""0393254690""","=""9780393254693""",3,W. W. Norton & Company,Hardcover,272,2019,2019,2023/01/02,2023/01/02,,,read,,,,1,0
9557,Sputnik Sweetheart,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448475""","=""9780099448471""",4,Vintage,Paperback,229,2002,1999,2023/01/02,2023/01/02,,,read,,,,1,0
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""192076920X""","=""9781920769208""",3,Scribe,Paperback,936,2004,2003,2021/09/03,2019/10/23,,,read,,,,1,0
18620743,Dalla parte di Swann,Marcel Proust,"Proust, Marcel","Giovanni Raboni, Luciano De Maria","=""8804623403""","=""9788804623403""",4,Mondadori,Paperback,473,2012,1913,,2016/04/17,,,read,,,,1,0
